nv,mu,phi,pressure,temp
7,0.08810175736056135,0.6615581115749962,4.830788218717347e-06,9.315027469374566e-07
11,0.0917953340839378,0.6646904859476095,5.008263096455197e-06,9.31157639642477e-07
13,0.09291928548568841,0.6655771635795308,4.949070767751303e-06,9.191124300172709e-07
19,0.0949963704011567,0.66705579974205,4.979395068425291e-06,9.202197436356732e-07
31,0.09685551505548305,0.6684862920747132,5.051571410354532e-06,9.1845080064706e-07
5,0.08494776691458673,0.7190484069612968,7.526812603248761e-06,9.23217726377977e-07
7,0.08810175736056135,0.7215581115733974,7.72996979413286e-06,9.313161277682254e-07
11,0.0917953340839378,0.7246904859460233,8.031994471479195e-06,9.206875086080712e-07
13,0.09291928548568841,0.7255771635779326,8.082145855155426e-06,9.227646012148925e-07
19,0.0949963704011567,0.7270557997404391,8.117664918991776e-06,9.2037841970628e-07
31,0.09685551505548305,0.7284862920731023,8.245386716986736e-06,9.267913105607022e-07
5,0.08494776691458673,0.510048406966883,1.8056363875310017e-06,9.231494128904795e-07
7,0.08810175736056135,0.5125581115790045,1.7768930830091453e-06,9.232049041135544e-07
11,0.0917953340839378,0.5156904859515625,1.8047941546536175e-06,9.203957913642096e-07
13,0.09291928548568841,0.5165771635835336,1.792237384717509e-06,9.204468838489292e-07
19,0.0949963704011567,0.5180557997460313,1.8330244641413695e-06,9.141379486936107e-07
31,0.09685551505548305,0.5194862920786985,1.905661230357544e-06,9.213016713311052e-07
5,0.08494776691458673,0.7260484069611046,8.065180126339503e-06,9.17718383614971e-07
7,0.08810175736056135,0.7285581115732085,8.348715564896718e-06,9.27781362167614e-07
11,0.0917953340839378,0.7316904859458367,8.542815215516171e-06,9.212416840275024e-07
13,0.09291928548568841,0.7325771635777388,8.771734673128564e-06,9.243111234059784e-07
19,0.0949963704011567,0.7340557997402576,8.629363375515075e-06,9.242015961432487e-07
31,0.09685551505548305,0.7354862920729145,8.707912944927062e-06,9.209604834747957e-07
5,0.08494776691458673,0.5080484069669359,1.7528175244764997e-06,9.25845499143885e-07
7,0.08810175736056135,0.5105581115790582,1.7722101599973091e-06,9.212234687227915e-07
11,0.0917953340839378,0.513690485951616,1.7783151195433635e-06,9.172701450468538e-07
13,0.09291928548568841,0.51457716358359,1.8105603669553173e-06,9.186186447070895e-07
19,0.0949963704011567,0.516055799746082,1.8361189200154578e-06,9.248547571615393e-07
31,0.09685551505548305,0.5174862920787539,1.8960058676099386e-06,9.250637151048339e-07
5,0.08494776691458673,0.697048406961882,6.399153665602744e-06,9.249104442719468e-07
7,0.08810175736056135,0.6995581115739864,6.461612378188249e-06,9.178230430079909e-07
11,0.0917953340839378,0.7026904859466014,6.5726717110175626e-06,9.221908955780159e-07
13,0.09291928548568841,0.7035771635785193,6.612257309166506e-06,9.196951054243418e-07
19,0.0949963704011567,0.7050557997410342,6.7762175321587e-06,9.184239410976695e-07
31,0.09685551505548305,0.7064862920736941,6.83765638182267e-06,9.32950895329171e-07
5,0.08494776691458673,0.51504840696675,1.8614664155218216e-06,9.25137793674872e-07
7,0.08810175736056135,0.5175581115788714,1.8570376397081234e-06,9.228489638375483e-07
11,0.0917953340839378,0.5206904859514309,1.9026745122986984e-06,9.249936076737169e-07
13,0.09291928548568841,0.5215771635833983,1.936536617328993e-06,9.254127432551047e-07
19,0.0949963704011567,0.523055799745895,1.9169173714124875e-06,9.195098960882865e-07
31,0.09685551505548305,0.5244862920785666,1.9603256964622946e-06,9.224139786666819e-07
5,0.08494776691458673,0.6900484069620723,6.018426124554128e-06,9.27666327696311e-07
7,0.08810175736056135,0.6925581115741702,6.065549983143918e-06,9.224362835185544e-07
11,0.0917953340839378,0.6956904859467831,6.341203746926297e-06,9.218662238453099e-07
13,0.09291928548568841,0.6965771635787064,6.2862729877233e-06,9.28532227798973e-07
19,0.0949963704011567,0.6980557997412264,6.30934402444717e-06,9.231591566852643e-07
31,0.09685551505548305,0.6994862920738789,6.399026681466948e-06,9.222786226596053e-07
5,0.08494776691458673,0.49904840696715214,1.6374316381513182e-06,9.254964072496178e-07
7,0.08810175736056135,0.5015581115792956,1.699942844942864e-06,9.22009032413929e-07
11,0.0917953340839378,0.5046904859518565,1.6914541428251474e-06,9.293553940375777e-07
13,0.09291928548568841,0.505577163583835,1.7190434902577993e-06,9.219897227867214e-07
19,0.0949963704011567,0.5070557997463261,1.71802355333034e-06,9.302683562275389e-07
31,0.09685551505548305,0.5084862920789937,1.808962044985346e-06,9.191269402975149e-07
5,0.08494776691458673,0.5170484069666956,1.8689369014877298e-06,9.20241376520882e-07
7,0.08810175736056135,0.5195581115788155,1.911960062906955e-06,9.220381065492338e-07
11,0.0917953340839378,0.522690485951379,1.8886110448730704e-06,9.242328751597611e-07
13,0.09291928548568841,0.523577163583346,1.904075465859165e-06,9.266017312994115e-07
19,0.0949963704011567,0.5250557997458394,1.9540540609277974e-06,9.260737133910791e-07
31,0.09685551505548305,0.5264862920785158,1.935742894705824e-06,9.16383248244051e-07
5,0.08494776691458673,0.6950484069619376,6.316988313790476e-06,9.247686359439563e-07
7,0.08810175736056135,0.6975581115740408,6.413835212566947e-06,9.232069824530903e-07
11,0.0917953340839378,0.7006904859466538,6.460078886479867e-06,9.176664241153964e-07
13,0.09291928548568841,0.7015771635785751,6.56209110040409e-06,9.193595873606504e-07
19,0.0949963704011567,0.7030557997410907,6.558935065856787e-06,9.209953197815712e-07
31,0.09685551505548305,0.704486292073748,6.7088856769856105e-06,9.29587062577968e-07
5,0.08494776691458673,0.5060484069669883,1.7896233943487253e-06,9.233058798297061e-07
7,0.08810175736056135,0.5085581115791119,1.8022332923214544e-06,9.200243303825096e-07
11,0.0917953340839378,0.5116904859516678,1.7853064991348896e-06,9.242454198982308e-07
13,0.09291928548568841,0.5125771635836462,1.7969087786321697e-06,9.222569337687015e-07
19,0.0949963704011567,0.5140557997461375,1.8112712963338527e-06,9.176591428944845e-07
31,0.09685551505548305,0.5154862920788073,1.8465981235214946e-06,9.242370609472771e-07
5,0.08494776691458673,0.7280484069610489,8.38490915781195e-06,9.274585201813755e-07
7,0.08810175736056135,0.7305581115731502,8.530831050892289e-06,9.264689671310455e-07
11,0.0917953340839378,0.733690485945783,8.698754206307081e-06,9.202798267906321e-07
13,0.09291928548568841,0.7345771635776874,8.744345420611706e-06,9.1246763241539e-07
19,0.0949963704011567,0.7360557997402044,8.830926701177828e-06,9.224874293898282e-07
31,0.09685551505548305,0.7374862920728595,9.120966242878646e-06,9.249171460139373e-07
5,0.08494776691458673,0.5320484069663007,2.015481534648314e-06,9.22580124592925e-07
7,0.08810175736056135,0.5345581115784119,2.0892873909237786e-06,9.325201529454356e-07
11,0.0917953340839378,0.5376904859509872,2.0627983408845644e-06,9.170597631008083e-07
13,0.09291928548568841,0.53857716358294,2.102306669290612e-06,9.305795201099929e-07
19,0.0949963704011567,0.5400557997454419,2.1040175107387367e-06,9.20514661331128e-07
31,0.09685551505548305,0.5414862920781202,2.186986238628859e-06,9.305708539171558e-07
5,0.08494776691458673,0.7880484069594451,1.556844421820345e-05,9.264848579689442e-07
7,0.08810175736056135,0.7905581115715674,1.6557723573262522e-05,9.275875419118105e-07
11,0.0917953340839378,0.7936904859441941,1.6992524560392477e-05,9.170273942290141e-07
13,0.09291928548568841,0.7945771635760772,1.788945466835968e-05,9.260042588297033e-07
19,0.0949963704011567,0.7960557997385945,1.803348859308694e-05,9.281581605103827e-07
31,0.09685551505548305,0.7974862920712581,1.8476202290894187e-05,9.281424091428729e-07
5,0.08494776691458673,0.7410484069606995,9.327353839552728e-06,9.256771225581317e-07
7,0.08810175736056135,0.7435581115728016,9.600818451966715e-06,9.244194224830552e-07
11,0.0917953340839378,0.7466904859454483,9.69735374223365e-06,9.094756041920113e-07
13,0.09291928548568841,0.7475771635773367,9.863616128994431e-06,9.194983736927022e-07
19,0.0949963704011567,0.749055799739849,1.0073074216237697e-05,9.258897622801551e-07
31,0.09685551505548305,0.7504862920725346,1.023586380235898e-05,9.350973302816928e-07
5,0.08494776691458673,0.5770484069650988,2.711312357376103e-06,9.255569328789418e-07
7,0.08810175736056135,0.5795581115772068,2.6775101714441616e-06,9.251674538995107e-07
11,0.0917953340839378,0.582690485949779,2.7454454357565298e-06,9.173139842892731e-07
13,0.09291928548568841,0.5835771635817395,2.79083544965336e-06,9.21522138132742e-07
19,0.0949963704011567,0.5850557997442382,2.806352747653211e-06,9.191756815094564e-07
31,0.09685551505548305,0.5864862920769032,2.8815184361854988e-06,9.29495008679365e-07
5,0.08494776691458673,0.5330484069662752,2.0728622228170637e-06,9.249725859947406e-07
7,0.08810175736056135,0.5355581115783838,2.0427478622175584e-06,9.23279693789082e-07
11,0.0917953340839378,0.5386904859509601,2.1707947043096963e-06,9.311920061801753e-07
13,0.09291928548568841,0.5395771635829123,2.157854154570328e-06,9.239831139742863e-07
19,0.0949963704011567,0.5410557997454152,2.1251832002920612e-06,9.265279968517596e-07
31,0.09685551505548305,0.542486292078094,2.208283862917852e-06,9.223025257656608e-07
5,0.08494776691458673,0.7440484069606216,9.513485855216094e-06,9.226715115090748e-07
7,0.08810175736056135,0.7465581115727267,9.871960803996604e-06,9.208494249664203e-07
11,0.0917953340839378,0.7496904859453739,1.0062346034432216e-05,9.23214490888814e-07
13,0.09291928548568841,0.7505771635772522,1.0370902855849593e-05,9.264455865902911e-07
19,0.0949963704011567,0.7520557997397656,1.0484413650291276e-05,9.203084208288397e-07
31,0.09685551505548305,0.7534862920724505,1.0286821910772572e-05,9.224169981824578e-07
5,0.08494776691458673,0.5750484069651519,2.6238725788760805e-06,9.268931944236087e-07
7,0.08810175736056135,0.5775581115772594,2.7101495960454433e-06,9.237796914201e-07
11,0.0917953340839378,0.5806904859498333,2.801760985070189e-06,9.336764748809325e-07
13,0.09291928548568841,0.5815771635817932,2.7938265172453878e-06,9.234162712070672e-07
19,0.0949963704011567,0.5830557997442919,2.79360740020903e-06,9.161040696256562e-07
31,0.09685551505548305,0.5844862920769592,2.885122910071366e-06,9.260201581305756e-07
5,0.08494776691458673,0.5610484069655283,2.477230872523236e-06,9.239479422442121e-07
7,0.08810175736056135,0.5635581115776377,2.460454659013511e-06,9.238257035642156e-07
11,0.0917953340839378,0.5666904859502112,2.4658114879090756e-06,9.152613272561752e-07
13,0.09291928548568841,0.5675771635821648,2.5176561575945537e-06,9.23339715202613e-07
19,0.0949963704011567,0.56905579974466,2.5234713889463226e-06,9.23160274083756e-07
31,0.09685551505548305,0.5704862920773401,2.5554978681607057e-06,9.25796613959664e-07
5,0.08494776691458673,0.7860484069594986,1.5245080348696833e-05,9.30634809403582e-07
7,0.08810175736056135,0.7885581115716235,1.6161800140785568e-05,9.274370932007128e-07
11,0.0917953340839378,0.7916904859442471,1.6719852694396585e-05,9.293961118898544e-07
13,0.09291928548568841,0.7925771635761313,1.736475375604368e-05,9.267131265998107e-07
19,0.0949963704011567,0.794055799738647,1.7525597920486864e-05,9.202793153850163e-07
31,0.09685551505548305,0.7954862920713159,1.774104956595331e-05,9.387804548243411e-07
5,0.08494776691458673,0.752048406960407,1.0433827036834648e-05,9.282943822491042e-07
7,0.08810175736056135,0.7545581115725079,1.0810719770506336e-05,9.294097257703566e-07
11,0.0917953340839378,0.7576904859451736,1.121211152283377e-05,9.275915943022395e-07
13,0.09291928548568841,0.7585771635770278,1.0966926086487025e-05,9.243814072245625e-07
19,0.0949963704011567,0.7600557997395541,1.1125987306747194e-05,9.229641289354672e-07
31,0.09685551505548305,0.7614862920722393,1.1244838706869325e-05,9.159913810240196e-07
5,0.08494776691458673,0.5640484069654458,2.480892109659866e-06,9.241679651471846e-07
7,0.08810175736056135,0.5665581115775586,2.493253549880695e-06,9.220314085557083e-07
11,0.0917953340839378,0.5696904859501295,2.540976153657307e-06,9.18447120040547e-07
13,0.09291928548568841,0.5705771635820839,2.5945676282052374e-06,9.227241295883124e-07
19,0.0949963704011567,0.5720557997445823,2.6487536893061037e-06,9.289640834782134e-07
31,0.09685551505548305,0.5734862920772555,2.5641748913389974e-06,9.228557249982524e-07
5,0.08494776691458673,0.570048406965287,2.6030378627816727e-06,9.237504582736271e-07
7,0.08810175736056135,0.572558111577395,2.575384822122786e-06,9.197066893743009e-07
11,0.0917953340839378,0.5756904859499664,2.6203005481396364e-06,9.227613578203291e-07
13,0.09291928548568841,0.5765771635819252,2.6715169741621934e-06,9.26686541345313e-07
19,0.0949963704011567,0.5780557997444228,2.6839929789114335e-06,9.248036035224779e-07
